"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t07",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet18_cifar10_deepspeed_stage_2_batch1024_nodes3/dstat_r1t07.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","04 Apr 2024 17:12:35 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.008,0.695,8429780992.0,2138112.0,14676471808.0,5.1767896064e+11,0.0,0.0,0.0,0.0,04-04 17:12:35
0.0,0.0,8460025856.0,2138112.0,14676471808.0,5.17648715776e+11,9728.0,6968.0,18270.0,4911.0,04-04 17:12:36
0.0,0.0,8476315648.0,2138112.0,14723444736.0,5.17585453056e+11,49082772.0,39316.0,1906.0,1888.0,04-04 17:12:37
0.0,5.0,8654753792.0,2138112.0,15264018432.0,5.16866441216e+11,553334116.0,319308.0,0.0,0.0,04-04 17:12:38
0.0,0.0,8804614144.0,2138112.0,15802281984.0,5.16178317312e+11,577310968.0,299712.0,120.0,0.0,04-04 17:12:39
0.0,370.0,8855744512.0,2138112.0,15817682944.0,5.16111785984e+11,14606420.0,642444.0,66.0,5396.0,04-04 17:12:40
0.0,0.0,8950190080.0,2138112.0,15819993088.0,5.16015030272e+11,735192.0,84216.0,5140.0,9167.0,04-04 17:12:41
0.0,0.0,9047564288.0,2138112.0,15819993088.0,5.15917656064e+11,242648.0,197576.0,66.0,132.0,04-04 17:12:42
0.0,0.0,9066364928.0,2138112.0,15835394048.0,5.15883454464e+11,7596492.0,365172.0,0.0,0.0,04-04 17:12:43
0.0,0.0,9095933952.0,2138112.0,15863115776.0,5.15826163712e+11,28476196.0,774424.0,60.0,0.0,04-04 17:12:44
0.0,1538.0,9131556864.0,2138112.0,15904698368.0,5.15748958208e+11,42058440.0,585076.0,0.0,0.0,04-04 17:12:45
0.0,0.0,9198202880.0,2138112.0,15926259712.0,5.15660750848e+11,21009524.0,460528.0,1569.0,1839.0,04-04 17:12:46
0.0,0.0,9232703488.0,2138112.0,16033296384.0,5.15519213568e+11,110513580.0,533896.0,66.0,196.0,04-04 17:12:47
0.0,0.0,9259737088.0,2138112.0,16046387200.0,5.15479089152e+11,4440080.0,394304.0,0.0,0.0,04-04 17:12:48
0.0,0.0,9780588544.0,2138112.0,16063328256.0,5.1494129664e+11,16494212.0,8024.0,951.0,1663.0,04-04 17:12:49
0.0,0.0,9892868096.0,2138112.0,16091820032.0,5.14800525312e+11,16491820.0,6960.0,1826.0,9137.0,04-04 17:12:50
0.0,0.0,10155675648.0,2138112.0,16342855680.0,5.14286682112e+11,141699588.0,73432.0,1503.0,2362.0,04-04 17:12:51
0.0,0.0,10154487808.0,2138112.0,16537677824.0,5.14093047808e+11,195245844.0,72692.0,533.0,1416.0,04-04 17:12:52
0.0,0.0,10202804224.0,2138112.0,16659345408.0,5.13923063808e+11,16520000.0,33768.0,0.0,0.0,04-04 17:12:53
0.0,0.0,10394755072.0,2138112.0,16979685376.0,5.13410772992e+11,301219628.0,103696.0,186.0,156.0,04-04 17:12:54
0.0,0.0,10693877760.0,2138112.0,17238421504.0,5.12852914176e+11,280345760.0,96412.0,0.0,0.0,04-04 17:12:55
0.0,0.0,10949210112.0,2138112.0,17332367360.0,5.12503635968e+11,91532300.0,7237576.0,1569.0,1852.0,04-04 17:12:56
0.0,0.0,11242954752.0,2138112.0,17527189504.0,5.12015069184e+11,188286144.0,63352.0,60.0,0.0,04-04 17:12:57
0.0,0.0,11242762240.0,2138112.0,17515638784.0,5.12026812416e+11,668.0,1404.0,0.0,0.0,04-04 17:12:58
0.0,0.0,11242835968.0,2138112.0,17524109312.0,5.1201826816e+11,548.0,1328.0,0.0,0.0,04-04 17:12:59
0.0,658.0,11245572096.0,2138112.0,17524879360.0,5.12014761984e+11,448.0,1364.0,0.0,0.0,04-04 17:13:00
0.0,0.0,11244937216.0,2138112.0,17525649408.0,5.12014626816e+11,668.0,1580.0,1563.0,1738.0,04-04 17:13:01
0.0,9.0,11247636480.0,2138112.0,17533349888.0,5.12004227072e+11,448.0,1444.0,60.0,0.0,04-04 17:13:02
0.0,0.0,11249147904.0,2138112.0,17533349888.0,5.12002715648e+11,448.0,1484.0,0.0,0.0,04-04 17:13:03
0.0,4.0,11248775168.0,2138112.0,17533349888.0,5.12003088384e+11,668.0,1696.0,0.0,0.0,04-04 17:13:04
0.0,2447.0,11256258560.0,2138112.0,17538740224.0,5.11990214656e+11,668.0,1724.0,0.0,0.0,04-04 17:13:05
0.0,0.0,11294236672.0,2138112.0,17531809792.0,5.11959166976e+11,888.0,1952.0,1503.0,1738.0,04-04 17:13:06
0.0,0.0,11292315648.0,2138112.0,17533349888.0,5.11959547904e+11,668.0,1816.0,0.0,0.0,04-04 17:13:07
0.0,0.0,11292663808.0,2138112.0,17541820416.0,5.11950729216e+11,448.0,1676.0,0.0,0.0,04-04 17:13:08
0.0,8.0,11293024256.0,2138112.0,17550290944.0,5.1194189824e+11,448.0,1716.0,0.0,0.0,04-04 17:13:09
0.0,0.0,11293814784.0,2138112.0,17551060992.0,5.11940337664e+11,668.0,1932.0,0.0,0.0,04-04 17:13:10
