timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets
17:12:34,6842,7538,134,146
17:12:35,14331397,20104,27767,538
17:12:36,44950756,55281,87143,1418
17:12:37,181474559,70096,349007,2125
17:12:38,36441438,182929,72421,3837
17:12:39,714028,57407,2171,1141
17:12:40,0,22,0,1
17:12:41,53318,52433,1026,1033
17:12:42,570631,111162,2923,2207
17:12:43,3727655,85037,8299,1745
17:12:44,6616290,266531,16545,5161
17:12:45,10244048,187485,22058,3908
17:12:46,26759352,92502,52711,1960
17:12:47,3767103,190519,9855,3772
17:12:48,4231197,8627,8240,195
17:12:49,910,636,11,15
17:12:50,31177966,18187,60083,490
17:12:51,49048355,66042,95062,1528
17:12:52,4122513,11278569,8728,11431
17:12:53,4108735,3592,7949,119
17:12:54,139057881,51619,267656,1560
17:12:56,2573,3031,117,139
17:12:57,94073970,21454636,162306,24306
17:12:58,44980467,45559331,46009,46529
17:12:59,44979519,44975941,45965,45865
17:13:00,44980916,44978375,45972,45977
17:13:01,44979690,44977572,45944,45932
17:13:02,44396104,43810864,45283,44715
17:13:03,37482854,37481940,38234,38317
17:13:04,29986752,31042411,30670,31674
17:13:05,67468866,66413595,68863,67868
17:13:06,2904,6187,205,207
17:13:07,44979102,44979691,45886,45916
17:13:08,44979447,44980362,45923,45940
17:13:09,44979543,44980707,45943,45938
17:13:10,43549930,43812249,44448,44669
17:13:11,32569458,31991381,33249,32729
17:13:12,32845162,32317877,33558,33030
17:13:13,44979383,44976009,45933,45947
17:13:14,44979376,44975951,45938,45885
17:13:15,44979425,44976111,45939,45855
17:13:16,22492368,22492696,23156,23148
17:13:17,44979430,44977699,45921,45897
17:13:18,44979181,44978176,45902,45940
17:13:19,39827045,39591049,41454,40672
17:13:20,38427254,37637849,39184,38452
17:13:21,33372687,33109376,34082,33909
17:13:22,44979667,44980093,45941,45973
17:13:23,44979691,44980322,45941,45943
17:13:24,67468768,67470544,68849,68859
17:13:25,4005,8648,217,220
17:13:26,44980971,45004218,45978,45974
17:13:27,42758586,41702746,43630,42635
17:13:28,29459182,30512452,30131,31187
17:13:29,37066469,37326298,37969,38115
17:13:30,44979604,44976558,45958,45906
17:13:31,44980200,44981827,45964,45957
17:13:32,44979131,44977725,45897,45960
17:13:33,40649041,41700406,41586,42523
17:13:34,48782765,48255642,49806,49288
17:13:35,14995603,14996488,15470,15487
17:13:36,29986922,29988886,30670,30703
17:13:37,44979671,43926702,45937,44942
17:13:38,44979718,44980274,45968,45965
17:13:39,44979277,44980247,45911,45908
17:13:40,44978943,44978877,45884,45926
17:13:41,41439962,41702509,42320,42556
17:13:42,32888207,33683551,33799,34419
17:13:43,36538410,37063232,37357,37877
17:13:44,44979246,44975867,45926,45911
17:13:45,22492433,22491910,23159,23155
17:13:46,44979098,44977069,45892,45930
17:13:47,44979621,44977629,45967,45953
17:13:48,44979453,44977858,45943,45928
17:13:49,38538458,39590216,39409,40363
17:13:50,31042797,31044192,31731,31768
17:13:51,38648997,39008599,39506,39462
17:13:52,44979684,44979589,45950,45939
17:13:53,67469008,67469386,68877,68824
17:13:54,2904,7001,205,206
17:13:55,44979214,44980857,45902,45942
17:13:56,44979676,45000974,45921,45995
17:13:57,44979483,44980989,45930,45969
17:13:58,38537759,38534282,39311,39359
17:13:59,27349010,28138431,28008,28690
17:14:00,43924199,42866844,44841,43866
17:14:01,44979310,44976942,45916,45933
17:14:02,44979495,44977202,45955,45923
17:14:03,44979481,44977605,45947,45915
17:14:04,18161467,19216312,18742,19752
17:14:05,26821191,27429038,27449,28330
17:14:06,41814185,41813873,42714,42734
17:14:07,44979333,44979208,45913,45904
17:14:08,44979389,44980203,45927,45980
17:14:09,44979266,44979866,45916,45891
17:14:10,44979466,44980587,45932,45923
17:14:11,39066113,39592258,39950,40460
17:14:12,31832998,30631846,32228,30831
17:14:13,38648882,38648738,39534,39485
17:14:14,22493741,22492717,23188,23223
17:14:15,44978998,44976313,45884,45914
17:14:16,44979040,44976460,45884,45868
17:14:17,44979243,44977312,45913,45931
17:14:18,44979142,44977615,45892,45907
17:14:19,37482864,37480223,38265,38261
17:14:20,28404342,29987003,29106,30576
17:14:21,44980098,44979158,45996,45941
17:14:22,67468992,67469223,68881,68919
17:14:23,2718,6393,191,193
17:14:24,44979358,44980518,45910,45953
17:14:25,41703740,41702255,42590,42573
17:14:26,25216990,26472394,25358,26854
17:14:27,44979292,43926816,45894,44914
17:14:28,44979612,44978858,45959,45948
17:14:30,44978853,44976095,45851,45938
17:14:31,44105282,44683597,45045,45530
17:14:32,26592664,25655489,27133,26291
17:14:33,57972718,57705170,59229,58904
17:14:34,6402,12768,251,272
17:14:35,5567950,3080,10740,108
17:14:36,832,1004,24,30
17:14:37,9812,5724,113,117
17:14:38,725269,2062,1418,57
17:14:39,104,169,2,5
17:14:40,1386,1401,28,28
17:14:41,0,22,0,1
17:14:42,210,273,4,7
17:14:43,0,22,0,1
17:14:44,23683255,23606,45770,637
17:14:45,18837856,60546,37187,1256
17:14:46,0,22,0,1
17:14:47,2220258,85816,5772,1699
17:14:48,6692250,128457,15112,2546
17:14:49,34858,34955,683,687
17:14:50,4414292,5740675,8794,11168
17:14:51,0,22,0,1
17:14:52,0,22,0,1
17:14:53,102,168,2,5
17:14:54,22119688,20756600,43556,41134
17:14:55,208494,4013,453,89
