Wall time,Step,Value
1712265177.0636184,0,23481.0
1712265177.4940977,1,40189.0
1712265177.9332998,2,39501.0
1712265178.346165,3,38737.0
1712265178.8711362,4,38350.0
1712265179.4148502,5,37836.0
1712265179.972996,6,38259.0
1712265180.4828722,7,38391.0
1712265181.041238,8,37963.0
1712265181.5377364,9,37429.0
1712265182.0945613,10,36587.0
1712265182.591076,11,38809.0
1712265183.1733391,12,36198.0
1712265183.7112103,13,37534.0
1712265184.273395,14,37245.0
1712265184.7575266,15,36683.0
1712265184.9712932,16,35565.0
1712265186.415555,17,36694.0
1712265186.9645915,18,38224.0
1712265187.5433838,19,37532.0
1712265188.0348334,20,37523.0
1712265188.623301,21,36833.0
1712265189.126209,22,37137.0
1712265189.6822724,23,37783.0
1712265190.223319,24,38507.0
1712265190.7412035,25,37503.0
1712265191.2568557,26,37732.0
1712265191.8233376,27,37108.0
1712265192.355793,28,36921.0
1712265192.922995,29,38922.0
1712265193.4712718,30,38592.0
1712265194.013421,31,39776.0
1712265194.4847364,32,37932.0
1712265194.62979,33,39143.0
1712265196.0628047,34,38173.0
1712265196.603766,35,37249.0
1712265197.1347365,36,36336.0
1712265197.6932516,37,38348.0
1712265198.2232592,38,39141.0
1712265198.7843711,39,37982.0
1712265199.3046238,40,38348.0
1712265199.841307,41,37421.0
1712265200.371246,42,37030.0
1712265200.9057405,43,37839.0
1712265201.4445908,44,36407.0
1712265201.994199,45,36745.0
1712265202.5212,46,38547.0
1712265203.0823026,47,38739.0
1712265203.6633267,48,37734.0
1712265204.1084874,49,37622.0
1712265204.2611942,50,39080.0
1712265205.705739,51,36693.0
1712265206.2732916,52,37836.0
1712265206.8434277,53,38370.0
1712265207.3805208,54,37465.0
1712265207.9532905,55,36043.0
1712265208.533323,56,38489.0
1712265209.0547628,57,36467.0
1712265209.611178,58,37599.0
1712265210.1661506,59,36917.0
1712265210.73336,60,37046.0
1712265211.2950974,61,37102.0
1712265211.8146458,62,38216.0
1712265212.327938,63,37217.0
1712265212.893321,64,38185.0
1712265213.4450521,65,38744.0
1712265213.8983636,66,37282.0
1712265214.0560946,67,39184.0
1712265215.5334103,68,37164.0
1712265216.0642614,69,35893.0
1712265216.6146169,70,37777.0
1712265217.1737683,71,37669.0
1712265217.691194,72,38013.0
1712265218.2633247,73,37457.0
1712265218.8330002,74,38416.0
1712265219.3632936,75,37804.0
1712265219.943337,76,37120.0
1712265220.483316,77,37303.0
1712265221.0111694,78,37197.0
1712265221.5313935,79,37946.0
1712265222.0834851,80,37108.0
1712265222.5812645,81,37030.0
1712265223.16332,82,38054.0
1712265223.6535351,83,38080.0
1712265223.8115156,84,39245.0
1712265225.2413082,85,37489.0
1712265225.7930038,86,38562.0
1712265226.3832767,87,37796.0
1712265226.924694,88,37340.0
1712265227.4611719,89,37615.0
1712265228.0242527,90,37570.0
1712265228.551407,91,36300.0
1712265229.0741735,92,36855.0
1712265229.604504,93,38525.0
1712265230.1934888,94,37633.0
1712265230.732325,95,37745.0
1712265231.2732995,96,37006.0
1712265231.7711108,97,37753.0
1712265232.3322487,98,37007.0
1712265232.871516,99,38215.0
1712265233.3371992,100,37650.0
1712265233.5071652,101,39050.0
1712265234.9177022,102,37386.0
1712265235.4545925,103,37416.0
1712265236.000817,104,38120.0
1712265236.5212643,105,38574.0
1712265237.0832872,106,37818.0
1712265237.6435359,107,34370.0
1712265238.202302,108,37226.0
1712265238.7433186,109,37662.0
1712265239.285589,110,38087.0
1712265239.8115206,111,37275.0
1712265240.3549385,112,38291.0
1712265240.9132674,113,37477.0
1712265241.480206,114,37459.0
1712265242.0155969,115,38000.0
1712265242.5833359,116,36734.0
1712265243.0555909,117,37576.0
1712265243.2747018,118,33857.0
1712265244.793348,119,37255.0
1712265245.3355796,120,37588.0
1712265245.8447428,121,38069.0
1712265246.4433827,122,36367.0
1712265246.9511702,123,37611.0
1712265247.4842088,124,39141.0
1712265248.0245929,125,38065.0
1712265248.5648248,126,37317.0
1712265249.1343296,127,37058.0
1712265249.6832974,128,36777.0
1712265250.2056973,129,37106.0
1712265250.7809536,130,37263.0
1712265251.3033404,131,37355.0
1712265251.8542817,132,37832.0
1712265252.404359,133,36564.0
1712265252.9246864,134,37294.0
1712265253.1137292,135,39155.0
1712265254.5945766,136,38144.0
1712265255.1706853,137,37220.0
1712265255.6851234,138,38457.0
1712265256.204488,139,38458.0
1712265256.7733016,140,37545.0
1712265257.279952,141,37507.0
1712265257.843315,142,38684.0
1712265258.3443012,143,37569.0
1712265258.8474588,144,36814.0
1712265259.4211924,145,37191.0
1712265259.9732964,146,36520.0
1712265260.5532937,147,36226.0
1712265261.0913475,148,38993.0
1712265261.6165783,149,38380.0
1712265262.2033083,150,39067.0
1712265262.7147894,151,37364.0
1712265262.871344,152,39203.0
1712265264.334694,153,38189.0
1712265264.8811805,154,37870.0
1712265265.4444518,155,39067.0
1712265266.0233011,156,37839.0
1712265266.5011349,157,38487.0
1712265267.2032986,158,37749.0
1712265267.7612183,159,36764.0
1712265268.3042994,160,38771.0
1712265268.856194,161,37638.0
1712265269.3962803,162,37849.0
1712265269.951239,163,37836.0
1712265270.4946055,164,37905.0
1712265271.041169,165,39179.0
1712265271.611211,166,38263.0
1712265272.10114,167,37689.0
1712265272.658404,168,36453.0
1712265272.8059344,169,39104.0
