#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:51:53      0      7      0      0      0      0      0     16     45 
 16:51:54      0      0      0      0      0      0      0      0      0 
 16:51:55      0      0      0      0      0      0      0      0      0 
 16:51:56      0      0      0      0      0      0      0      0      0 
 16:51:57      0      0      0      0      0      0      0      0      0 
 16:51:58      0      0      0      0      0      0      0      0      0 
 16:51:59      0      0      0      0      0      0      0      0      0 
 16:52:00      0      0      0      0      0      0      0      0      0 
 16:52:01      0      0      0      0      0      0      0      0      0 
 16:52:02      0      0      0      0      0      0      0      0      0 
 16:52:03      0      0      0      0      0      0      0      0      0 
 16:52:04      0      2      0      0      0      0      0    119     60 
 16:52:05      0      2      0      0      0      0      0     31     60 
 16:52:06      0      1      0      0      0      0      0      0      0 
 16:52:07      0     97      0      0      0      0      0     86     31 
 16:52:08      0     97     24      0      0      0      0     78     28 
 16:52:09      0     14      0      0      0      0      0      0      0 
 16:52:11      0     38     31      0      0      0      0      9      4 
 16:52:12      0    100      0      0      0      0      0     20      7 
 16:52:13      0     92     55      0      0      0      0   1034    151 
 16:52:14      0     96     57      0      0      0      0   1952    412 
 16:52:15      0     96     58      0      0      0      0      0      0 
 16:52:16      0     98     58      0      0      0      0      0     35 
 16:52:17      0     31      1      0      0      0      0    698    683 
 16:52:18      0     36      3      0      0      0      0     20      4 
 16:52:19      0     78     28      0      0      0      0      0    573 
 16:52:20      0      4      3      0      0      0      0   1157    172 
 16:52:21      0     33      1      0      0      0      0   1145    144 
 16:52:22      0     96     57      0      0      0      0   1425    943 
 16:52:23      0     96     57      0      0      0      0      0      0 
 16:52:24      0     98     58      0      0      0      0      0      0 
 16:52:25      0     98     58      0      0      0      0      0    315 
 16:52:26      0     51     18      0      0      0      0   1492    788 
 16:52:27      0     51     24      0      0      0      0    145      8 
 16:52:28      0     39     27      0      0      0      0      0     81 
 16:52:30      0     34      9      0      0      0      0   1237    164 
 16:52:31      0     84     38      0      0      0      0   2064    192 
 16:52:32      0     86     41      0      0      0      0   1040    146 
 16:52:33      0     93     42      0      0      0      0   1270   1193 
 16:52:34      0     86     39      0      0      0      0   1220      1 
 16:52:35      0     94     45      0      0      0      0      0      0 
 16:52:36      0     86     52      0      0      0      0      0      0 
 16:52:37      0     98     56      0      0      0      0    802     17 
 16:52:38      0     54     35      0      0      0      0      0      0 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:52:39      0     93     54      0      0      0      0      0      0 
 16:52:40      0     36     15      0      0      0      0   1098    733 
 16:52:41      0     35     14      0      0      0      0    305      7 
 16:52:42      0     43     14      0      0      0      0     17      4 
 16:52:43      0     38     20      0      0      0      0   1349    240 
 16:52:44      0     35     14      0      0      0      0   1394    161 
 16:52:45      0     93     42      0      0      0      0   1201    161 
 16:52:46      0     13      1      0      0      0      0     10      1 
 16:52:48      0     71     42      0      0      0      0   1752    410 
 16:52:49      0     83     37      0      0      0      0   1263     10 
 16:52:50      0    100     56      0      0      0      0      0      0 
 16:52:51      0     96     56      0      0      0      0      0      0 
 16:52:52      0     94     54      0      0      0      0    929    982 
 16:52:53      0     97     54      0      0      0      0   1159     68 
 16:52:54      0     95     54      0      0      0      0     22      5 
 16:52:55      0     36      5      0      0      0      0      9     70 
 16:52:56      0     38     27      0      0      0      0    686      7 
 16:52:57      0     30      1      0      0      0      0   1885    238 
 16:52:58      0     39      1      0      0      0      0   1283    167 
 16:52:59      0     98     43      0      0      0      0   1198    139 
 16:53:00      0     95     42      0      0      0      0   1463    627 
 16:53:01      0     95     42      0      0      0      0   1947    245 
 16:53:02      0     95     42      0      0      0      0   1358      3 
 16:53:03      0    100     58      0      0      0      0     18      0 
 16:53:04      0    100     56      0      0      0      0   1448    158 
 16:53:05      0     62     30      0      0      0      0      0      0 
 16:53:07      0     98     58      0      0      0      0    688    640 
 16:53:08      0    100     58      0      0      0      0    860      7 
 16:53:09      0     38      1      0      0      0      0     19      4 
 16:53:10      0     36      1      0      0      0      0    176    159 
 16:53:11      0     46     17      0      0      0      0    512    185 
 16:53:12      0     55     34      0      0      0      0   1803    226 
 16:53:13      0     81     37      0      0      0      0   1305    170 
 16:53:14      0     19     11      0      0      0      0     18      7 
 16:53:15      0     51     37      0      0      0      0   1128    893 
 16:53:16      0     64     30      0      0      0      0   1248   1063 
 16:53:17      0     98     45      0      0      0      0   1072    145 
 16:53:18      0     96     47      0      0      0      0    816   1401 
 16:53:19      0     97     47      0      0      0      0    570      3 
 16:53:20      0     96     44      0      0      0      0      0      0 
 16:53:21      0     76     50      0      0      0      0      0      0 
 16:53:22      0     72     48      0      0      0      0    910    373 
 16:53:23      0     55     27      0      0      0      0      2      0 
 16:53:24      0     96     55      0      0      0      0   1110     38 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:53:26      0     91     54      0      0      0      0     16      3 
 16:53:27      0     50     23      0      0      0      0   1237    186 
 16:53:28      0     45     18      0      0      0      0   2015    194 
 16:53:29      0     44     23      0      0      0      0   1193    131 
 16:53:30      0     47     22      0      0      0      0    976    630 
 16:53:31      0     97     55      0      0      0      0   1890    415 
 16:53:32      0     93     53      0      0      0      0   1091    576 
 16:53:33      0     60     36      0      0      0      0      0      0 
 16:53:34      0     87     46      0      0      0      0      0      5 
 16:53:35      0     75     49      0      0      0      0      0      0 
 16:53:36      0     74     48      0      0      0      0    929   1032 
 16:53:37      0     67     49      0      0      0      0    351      7 
 16:53:38      0     73     49      0      0      0      0     14      3 
 16:53:39      0     64     29      0      0      0      0     46    181 
 16:53:40      0     63     32      0      0      0      0   2124    213 
 16:53:41      0     42     20      0      0      0      0    569      7 
 16:53:42      0      0      0      0      0      0 
