timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets
16:51:50,5412,6079,106,116
16:51:51,11546609,15306,22385,370
16:51:52,59356200,57880,114975,1440
16:51:53,181004411,59885,348354,1683
16:51:54,19905405,205419,40635,4209
16:51:55,434102,27939,1230,558
16:51:56,0,22,0,1
16:51:57,9915,8914,174,178
16:51:58,88740,88872,1740,1746
16:51:59,1354469,89161,3937,1804
16:52:00,6618993,224356,15956,4309
16:52:01,10444038,173421,22358,3580
16:52:02,5181583,133955,11666,2777
16:52:03,360108,60865,1617,1210
16:52:05,31172438,11246,59990,332
16:52:06,28391523,63762,55740,1375
16:52:07,28418385,11865,54753,358
16:52:08,27748764,9955,52404,327
16:52:09,116695430,5427317,218869,6777
16:52:10,2423,2857,115,135
16:52:11,35222411,13992,67791,432
16:52:12,26334420,14997455,37192,15465
16:52:13,29986471,29995027,30692,30642
16:52:14,29986544,29987041,30734,30649
16:52:15,29986014,29987065,30683,30623
16:52:16,29985967,29987584,30665,30621
16:52:17,32096427,32098281,32855,32789
16:52:18,26821221,28259031,27518,28357
16:52:19,29458433,29989051,30137,30761
16:52:20,25768272,26301799,26568,26627
16:52:21,20268868,20270670,20723,20667
16:52:22,30569472,32210244,31371,32834
16:52:23,29986580,29991931,30729,30633
16:52:24,29986623,29992161,30740,30615
16:52:25,29985980,29988429,30707,30630
16:52:26,29986073,29986912,30698,30631
16:52:27,29985592,29985453,30670,30609
16:52:28,34206666,33152586,34938,33865
16:52:29,17215703,16163067,17762,16749
16:52:30,22489728,22491579,23014,22986
16:52:31,29985776,29987828,30644,30585
16:52:32,29985769,29988741,30641,30654
16:52:33,29985687,29989022,30625,30630
16:52:34,29985770,29989261,30624,30590
16:52:35,29986013,29989950,30665,30637
16:52:36,29985888,29990399,30634,30629
16:52:37,22489475,22491659,23012,22976
16:52:38,29988480,30017967,30809,30842
16:52:39,14995148,14999073,15439,15416
16:52:40,29986064,29991171,30681,30667
16:52:41,29987022,29987205,30718,30683
16:52:42,29985751,29986647,30622,30622
16:52:43,29985963,30078566,30631,30808
16:52:44,32074190,32071559,37896,37655
16:52:45,30052844,30087413,30874,30882
16:52:46,30761672,30655739,32827,32703
16:52:47,32072364,32080033,37838,37925
16:52:48,14993305,14995091,15338,15334
16:52:49,32072667,32075054,37848,37732
16:52:50,29985607,29990373,30607,30672
16:52:51,32070138,32078573,37688,37911
16:52:52,29985605,29991102,30607,30655
16:52:53,32069326,32081956,37647,38009
16:52:54,29985533,29991805,30603,30634
16:52:55,32069011,32076092,37618,37937
16:52:56,30052679,30086118,30858,30907
16:52:57,17015805,16981274,22476,22250
16:52:58,30052730,30087148,30844,30898
16:52:59,32003948,31975933,37485,37616
16:53:00,32070179,32077568,37703,37978
16:53:01,29985474,29988295,30601,30592
16:53:02,32072403,32074583,37792,37749
16:53:03,29985560,29989083,30621,30579
16:53:04,32070527,32080280,37645,37985
16:53:05,29985551,29990423,30605,30651
16:53:06,17081605,17087537,22649,22586
16:53:07,29985837,30007183,30626,30627
16:53:08,32074490,32077398,37916,37733
16:53:09,29985606,29987857,30622,30617
16:53:10,32005932,32069775,37632,37577
16:53:11,30052869,30086809,30871,30940
16:53:12,32004276,32065969,37533,37848
16:53:13,32071892,32073537,37772,37754
16:53:14,29985710,29987756,30628,30591
16:53:15,13279125,13809413,18981,19299
16:53:16,28402584,26296868,28956,26985
16:53:17,28903408,27857004,34334,33611
16:53:18,29985666,29989657,30622,30610
16:53:19,32071809,32074129,37733,37628
16:53:20,29985866,29990717,30644,30635
16:53:21,32070047,32078432,37650,37848
16:53:22,29985824,29993366,30629,30629
16:53:23,39566823,39573343,45362,45494
16:53:24,7566513,7599754,8104,8122
16:53:25,32004512,31972621,37522,37457
16:53:26,32069825,32075561,37668,37916
16:53:27,29985346,29987674,30576,30635
16:53:28,32069305,32076462,37644,37909
16:53:29,29986947,29989650,30637,30632
16:53:30,32070523,32076913,37696,37886
16:53:31,29985084,29986651,30591,30565
16:53:32,39566990,39577069,45389,45605
16:53:33,7498853,7502480,7831,7823
16:53:34,27740218,27749815,33342,33577
16:53:35,26820922,28935038,27486,29444
16:53:36,33124471,33399320,38690,38755
16:53:37,27943260,29649273,28777,29904
16:53:38,29893731,30390549,35341,35957
16:53:39,25832046,25865737,26560,26621
16:53:40,27875302,27876584,28464,28486
16:53:42,43900458,42849860,49879,48984
16:53:43,3221,97811,201,379
16:53:44,9028328,2089250,20540,7206
16:53:45,0,22,0,1
16:53:46,2087698,2084072,7240,7025
16:53:47,0,22,0,1
16:53:48,2088904,2085355,7283,7074
16:53:49,4839456,8145,9414,190
16:53:50,2086884,2087645,7193,7241
16:53:51,67598,100394,262,301
16:53:52,2019778,1986092,6961,6868
16:53:53,67583,101820,262,300
16:53:54,10330228,12315066,17243,19250
16:53:55,56726042,123666069,148208,190316
16:53:56,53863602,496645647,342486,776220
16:53:57,14979762,5286489,33909,5377
16:53:58,2195125,5029387,9181,5117
16:53:59,225174,5454067,8525,8537
16:54:00,2263726,9158113,9337,12995
16:54:01,7194131,10476221,14010,12573
16:54:02,0,22,0,1
16:54:03,0,22,0,1
16:54:04,18362792,18358447,35987,36238
16:54:05,1347860,12217,2746,273
16:54:06,424,479,8,11
