Wall time,Step,Value
1712350213.058473,0,9286.0
1712350213.5939653,1,11979.0
1712350214.1263351,2,11602.0
1712350214.646227,3,12037.0
1712350215.1661124,4,12008.0
1712350215.686509,5,12002.0
1712350216.201264,6,11602.0
1712350216.72619,7,11999.0
1712350217.2458222,8,11697.0
1712350217.7739182,9,11872.0
1712350218.3165877,10,11599.0
1712350218.8268533,11,11987.0
1712350219.3539073,12,11613.0
1712350219.8824408,13,11842.0
1712350220.413934,14,11522.0
1712350220.9362798,15,11605.0
1712350221.4762142,16,11973.0
1712350222.023877,17,11590.0
1712350222.5457792,18,11670.0
1712350223.06576,19,11709.0
1712350223.5857909,20,11957.0
1712350224.1147342,21,11720.0
1712350224.6457877,22,11577.0
1712350225.1742964,23,11925.0
1712350225.6959612,24,11554.0
1712350226.2262564,25,11986.0
1712350226.7739635,26,11620.0
1712350227.3261619,27,10509.0
1712350227.8640978,28,11899.0
1712350228.3938825,29,11607.0
1712350228.9058576,30,11897.0
1712350229.405482,31,12259.0
1712350229.7153518,32,12543.0
1712350231.470283,33,12125.0
1712350232.002592,34,11678.0
1712350232.5308518,35,11813.0
1712350233.076169,36,11217.0
1712350233.6039357,37,11913.0
1712350234.1441221,38,11248.0
1712350234.6657364,39,11855.0
1712350235.1863763,40,11717.0
1712350235.724015,41,11569.0
1712350236.2640226,42,11251.0
1712350236.8039153,43,11268.0
1712350237.3458033,44,10800.0
1712350237.8839242,45,11255.0
1712350238.4062767,46,11545.0
1712350238.9338746,47,11924.0
1712350239.4664028,48,11261.0
1712350240.0007682,49,11614.0
1712350240.5265362,50,11346.0
1712350241.0561235,51,11557.0
1712350241.5823886,52,11571.0
1712350242.1061895,53,11475.0
1712350242.645754,54,11520.0
1712350243.1839807,55,11348.0
1712350243.715915,56,11248.0
1712350244.243924,57,11596.0
1712350244.7839055,58,11567.0
1712350245.3164902,59,11263.0
1712350245.843897,60,11228.0
1712350246.3763669,61,11260.0
1712350246.89615,62,11572.0
1712350247.42421,63,11793.0
1712350247.9636846,64,12017.0
1712350248.2468352,65,12825.0
1712350250.011289,66,12003.0
1712350250.5454423,67,11515.0
1712350251.0463023,68,11887.0
1712350251.5761778,69,11226.0
1712350252.106126,70,11767.0
1712350252.6539197,71,11153.0
1712350253.1938915,72,11536.0
1712350253.7162209,73,11253.0
1712350254.2457097,74,11569.0
1712350254.7748165,75,11250.0
1712350255.3039217,76,11494.0
1712350255.8368306,77,11266.0
1712350256.3660674,78,11211.0
1712350256.8957758,79,11317.0
1712350257.446152,80,11497.0
1712350257.9861517,81,11810.0
1712350258.5340455,82,11607.0
1712350259.1139128,83,11256.0
1712350259.6461427,84,11350.0
1712350260.1856973,85,11249.0
1712350260.7139602,86,11265.0
1712350261.246074,87,11810.0
1712350261.7712107,88,11596.0
1712350262.3007324,89,11907.0
1712350262.8258915,90,11362.0
1712350263.3825467,91,11552.0
1712350263.9140444,92,11416.0
1712350264.4540248,93,11256.0
1712350264.9939833,94,11268.0
1712350265.5339541,95,11111.0
1712350266.0654671,96,11982.0
1712350266.5837216,97,11995.0
1712350266.8757622,98,12836.0
1712350268.6639788,99,11947.0
1712350269.186013,100,11597.0
1712350269.7161114,101,11839.0
1712350270.2539606,102,11843.0
1712350270.7939694,103,11245.0
1712350271.3340356,104,11420.0
1712350271.8661788,105,11214.0
1712350272.396162,106,11225.0
1712350272.9661536,107,11076.0
1712350273.5062048,108,11252.0
1712350274.0458295,109,11545.0
1712350274.5766902,110,11328.0
1712350275.1211042,111,11179.0
1712350275.664077,112,11696.0
1712350276.2036898,113,11234.0
1712350276.7361817,114,11215.0
1712350277.2913263,115,11238.0
1712350277.8163083,116,11421.0
1712350278.3561122,117,11550.0
1712350278.914266,118,11246.0
1712350279.4540637,119,11203.0
1712350279.9941947,120,11221.0
1712350280.5441098,121,11169.0
1712350281.0812724,122,11237.0
1712350281.6141756,123,11627.0
1712350282.1457994,124,11211.0
1712350282.6758606,125,11522.0
1712350283.2157736,126,11261.0
1712350283.7661355,127,10742.0
1712350284.3061185,128,11557.0
1712350284.865667,129,10699.0
1712350285.385658,130,11966.0
1712350285.7462285,131,12244.0
1712350287.511258,132,11914.0
1712350288.0569642,133,11315.0
1712350288.5760763,134,11710.0
1712350289.1241045,135,10955.0
1712350289.6641219,136,11249.0
1712350290.1959968,137,11523.0
1712350290.733091,138,11210.0
1712350291.2811694,139,11097.0
1712350291.8161118,140,11649.0
1712350292.3461049,141,11195.0
1712350292.8761594,142,11272.0
1712350293.4362037,143,10548.0
1712350293.966183,144,11231.0
1712350294.5061681,145,11740.0
1712350295.036078,146,11494.0
1712350295.5740657,147,11288.0
1712350296.116148,148,11249.0
1712350296.6560724,149,11243.0
1712350297.1961467,150,11256.0
1712350297.7357645,151,11247.0
1712350298.276142,152,11291.0
1712350298.8157825,153,11706.0
1712350299.34581,154,11285.0
1712350299.8764079,155,11530.0
1712350300.4611392,156,11598.0
1712350300.9961495,157,11611.0
1712350301.5441794,158,11231.0
1712350302.0761287,159,10994.0
1712350302.6129706,160,11670.0
1712350303.144232,161,11409.0
1712350303.6839116,162,11918.0
1712350304.1957529,163,11967.0
1712350304.5140336,164,12679.0
1712350306.3342917,165,11661.0
1712350306.8663554,166,11599.0
1712350307.37714,167,11350.0
1712350307.9148324,168,11236.0
1712350308.446068,169,11531.0
1712350308.9844224,170,11195.0
1712350309.5260985,171,11241.0
1712350310.0842214,172,10788.0
1712350310.6072721,173,11202.0
1712350311.1461027,174,11564.0
1712350311.6842477,175,11247.0
1712350312.2171552,176,11507.0
1712350312.7463408,177,11314.0
1712350313.285762,178,11279.0
1712350313.8158133,179,11203.0
1712350314.345834,180,11493.0
1712350314.8757374,181,11229.0
1712350315.4414427,182,11525.0
