"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t02",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet50_cifar10_ddp_batch64_nodes3/dstat_r1t02.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","05 Apr 2024 16:31:34 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.026,0.695,12722659328.0,2138112.0,2913644544.0,5.25148905472e+11,0.0,0.0,0.0,0.0,05-04 16:31:34
0.0,0.0,12749787136.0,2138112.0,2913644544.0,5.25121777664e+11,12224.0,9576.0,6480.0,6254.0,05-04 16:31:35
0.0,1.0,12720386048.0,2138112.0,2913644544.0,5.25151178752e+11,19088.0,17908.0,12005.0,12937.0,05-04 16:31:36
2.0,0.0,12723974144.0,2138112.0,2948296704.0,5.25112938496e+11,22777676.0,48772.0,17447.0,41037.0,05-04 16:31:37
5.0,3.0,12903567360.0,2138112.0,3018371072.0,5.24863270912e+11,85728588.0,72128.0,120.0,90.0,05-04 16:31:38
0.0,2.0,13005348864.0,2138112.0,3819220992.0,5.23960639488e+11,838021676.0,333056.0,363.0,0.0,05-04 16:31:39
0.0,0.0,13081178112.0,2138112.0,4017123328.0,5.23686907904e+11,206904424.0,373572.0,324.0,132.0,05-04 16:31:40
0.0,0.0,13118803968.0,2138112.0,4023283712.0,5.23643121664e+11,5541828.0,454300.0,7826.0,2897.0,05-04 16:31:41
0.0,0.0,13118803968.0,2138112.0,4023283712.0,5.23643121664e+11,668.0,876.0,2542.0,2320.0,05-04 16:31:42
0.0,0.0,13311258624.0,2138112.0,4024053760.0,5.2344989696e+11,230212.0,183928.0,8145.0,3487.0,05-04 16:31:43
0.0,0.0,13347258368.0,2138112.0,4034834432.0,5.23403116544e+11,2454712.0,377548.0,60.0,0.0,05-04 16:31:44
0.0,0.0,13366964224.0,2138112.0,4049465344.0,5.23368779776e+11,14715400.0,257764.0,0.0,0.0,05-04 16:31:45
0.0,0.0,13382803456.0,2138112.0,4067176448.0,5.2333522944e+11,17638908.0,856668.0,303.0,0.0,05-04 16:31:46
3.0,0.0,13410848768.0,2138112.0,4111069184.0,5.23263291392e+11,44645872.0,461484.0,3410.0,3006.0,05-04 16:31:47
