#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:44:52      0      0      0      0      0      0      0      0      0 
 19:44:53      0      0      0      0      0      0      0      0      0 
 19:44:54      0      0      0      0      0      0      0      0      0 
 19:44:55      0      0      0      0      0      0      0      0      0 
 19:44:56      0      0      0      0      0      0      0      0      0 
 19:44:57      0      0      0      0      0      0      0      0      0 
 19:44:58      0      0      0      0      0      0      0      0      0 
 19:45:00      0      0      0      0      0      0      0      0      0 
 19:45:01      0      0      0      0      0      0      0      0      0 
 19:45:02      0      0      0      0      0      0      0      0      0 
 19:45:03      0      0      0      0      0      0      0      0      0 
 19:45:04      0      0      0      0      0      0      0      0      0 
 19:45:05      0      0      0      0      0      0      0      0      0 
 19:45:06      0      0      0      0      0      0      0      0      0 
 19:45:07      0      0      0      0      0      0      0      0      0 
 19:45:08      0      0      0      0      0      0      0     15     17 
 19:45:09      0      0      0      0      0      0      0     11      0 
 19:45:10      0      0      0      0      0      0      0      6      0 
 19:45:11      0     70      1      0      0      0      0      0      0 
 19:45:12      0      1      0      0      0      0      0      6      0 
 19:45:13      0     46     47      0      0      0      0     11      3 
 19:45:14      0      0      0      0      0      0      0      0      0 
 19:45:15      0     98     72      0      0      0      0     19      6 
 19:45:16      0     95     63      0      0      0      0   1571    215 
 19:45:18      0     96     62      0      0      0      0   2489    265 
 19:45:19      0     99     84      0      0      0      0   1842    191 
 19:45:20      0     87     46      0      0      0      0     12    109 
 19:45:21      0     86     68      0      0      0      0     15      5 
 19:45:22      0     95      3      0      0      0      0     19      6 
 19:45:23      0    100     70      0      0      0      0   1019     78 
 19:45:24      0    100     94      0      0      0      0    658     29 
 19:45:25      0    100     90      0      0      0      0    504   1180 
 19:45:26      0    100     76      0      0      0      0   1223    165 
 19:45:27      0    100     74      0      0      0      0   1113    180 
 19:45:28      0     98     61      0      0      0      0   1630    169 
 19:45:29      0    100     77      0      0      0      0   1732    195 
 19:45:30      0    100     76      0      0      0      0    945    214 
 19:45:31      0     88     25      0      0      0      0     15      5 
 19:45:32      0    100     46      0      0      0      0     21      7 
 19:45:33      0    100     89      0      0      0      0   1360   1493 
 19:45:34      0     99     61      0      0      0      0    674      8 
 19:45:35      0     15     15      0      0      0      0     16      5 
 19:45:37      0    100     55      0      0      0      0   1307    980 
 19:45:38      0    100     75      0      0      0      0     72    794 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:45:39      0    100     85      0      0      0      0   1039    148 
 19:45:40      0    100     68      0      0      0      0   1073    153 
 19:45:41      0    100     73      0      0      0      0   1536    166 
 19:45:42      0     98     61      0      0      0      0   1681    151 
 19:45:43      0     98     61      0      0      0      0   1697    201 
 19:45:44      0     98     60      0      0      0      0   1481    204 
 19:45:45      0     89     77      0      0      0      0     12    126 
 19:45:46      0     87      5      0      0      0      0     15      5 
 19:45:47      0    100     68      0      0      0      0    546      0 
 19:45:48      0    100     81      0      0      0      0   1478   1305 
 19:45:49      0    100     75      0      0      0      0   1079    152 
 19:45:50      0    100     69      0      0      0      0   1110    259 
 19:45:51      0    100     67      0      0      0      0   1425    198 
 19:45:52      0    100     67      0      0      0      0   1469    208 
 19:45:53      0     99     65      0      0      0      0   1566    197 
 19:45:55      0     97     53      0      0      0      0   1804   2075 
 19:45:56      0    100     66      0      0      0      0     16      5 
 19:45:57      0    100     70      0      0      0      0   1586    213 
 19:45:58      0    100     72      0      0      0      0   1837    249 
 19:45:59      0     83     39      0      0      0      0     15      5 
 19:46:00      0     99     49      0      0      0      0     19      6 
 19:46:01      0    100     86      0      0      0      0   1632   1235 
 19:46:02      0    100     85      0      0      0      0   1414   1309 
 19:46:03      0    100     77      0      0      0      0   1074    114 
 19:46:04      0    100     72      0      0      0      0   1191    156 
 19:46:05      0     99     58      0      0      0      0   1245    207 
 19:46:06      0     98     58      0      0      0      0   1580    202 
 19:46:07      0     94     81      0      0      0      0   1247    214 
 19:46:08      0     88     24      0      0      0      0     15      5 
 19:46:09      0    100     57      0      0      0      0     17      6 
 19:46:10      0     99     35      0      0      0      0    675      7 
 19:46:11      0    100     86      0      0      0      0    898   2441 
 19:46:13      0    100     90      0      0      0      0   2414   2654 
 19:46:14      0    100     74      0      0      0      0   1113    174 
 19:46:15      0    100     80      0      0      0      0   1142    113 
 19:46:16      0     14      9      0      0      0      0     16      5 
 19:46:17      0     80     33      0      0      0      0      0      0 
 19:46:18      0    100     76      0      0      0      0     69   1414 
 19:46:19      0    100     74      0      0      0      0   1102    234 
 19:46:20      0    100     67      0      0      0      0   1701    158 
 19:46:21      0     99     60      0      0      0      0   1563    208 
 19:46:22      0    100     79      0      0      0      0   2633    317 
 19:46:23      0     99     64      0      0      0      0   1521    213 
 19:46:24      0     89     55      0      0      0      0     16      5 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:46:25      0     99     26      0      0      0      0     19      6 
 19:46:26      0    100     80      0      0      0      0    283     79 
 19:46:27      0    100     81      0      0      0      0   1366   1566 
 19:46:28      0    100     90      0      0      0      0   1068    275 
 19:46:29      0    100     73      0      0      0      0   1240    126 
 19:46:31      0    100     69      0      0      0      0   1311    161 
 19:46:32      0     99     59      0      0      0      0   1205    157 
 19:46:33      0    100     65      0      0      0      0   1556    222 
 19:46:34      0     99     57      0      0      0      0   1446    234 
 19:46:35      0    100     71      0      0      0      0   2563    303 
 19:46:36      0     96     46      0      0      0      0   1591   1729 
 19:46:37      0     73     52      0      0      0      0     14      5 
 19:46:38      0     96     62      0      0      0      0   1483    212 
 19:46:39      0    100     78      0      0      0      0   1651    225 
 19:46:40      0     86     33      0      0      0      0     10      4 
 19:46:41      0     87     60      0      0      0      0     16      5 
 19:46:42      0     99     34      0      0      0      0     20     12 
 19:46:43      0    100     83      0      0      0      0   1081   1241 
 19:46:44      0    100     75      0      0      0      0   1689   2528 
 19:46:45      0    100     87      0      0      0      0   1477    162 
 19:46:46      0    100     64      0      0      0      0   1150    166 
