"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t04",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet50_cifar10_fsdp_batch1024_nodes3/dstat_r1t04.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","05 Apr 2024 17:15:31 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.015,0.620,13474103296.0,2138112.0,6584094720.0,5.20727011328e+11,0.0,0.0,0.0,0.0,05-04 17:15:31
0.0,0.0,13502586880.0,2138112.0,6584094720.0,5.20698527744e+11,4008.0,2760.0,4677.0,4125.0,05-04 17:15:32
8.0,0.0,13516533760.0,2138112.0,6630297600.0,5.20638377984e+11,49086736.0,41948.0,14622.0,1642.0,05-04 17:15:33
1.0,5.0,13671149568.0,2138112.0,6936776704.0,5.20177283072e+11,309171068.0,259288.0,0.0,0.0,05-04 17:15:34
0.0,0.0,13811806208.0,2138112.0,7652151296.0,5.1932125184e+11,749579040.0,198320.0,0.0,0.0,05-04 17:15:35
0.0,566.0,13859221504.0,2138112.0,7723765760.0,5.1920222208e+11,85133784.0,731888.0,429.0,174.0,05-04 17:15:36
0.0,0.0,13879406592.0,2138112.0,7726075904.0,5.19179726848e+11,2029156.0,112192.0,3708.0,5648.0,05-04 17:15:37
0.0,0.0,14047784960.0,2138112.0,7726075904.0,5.1901134848e+11,86020.0,67128.0,1546.0,3719.0,05-04 17:15:38
0.0,0.0,14104809472.0,2138112.0,7730696192.0,5.1894970368e+11,3423928.0,417444.0,66.0,132.0,05-04 17:15:39
0.0,0.0,14121160704.0,2138112.0,7755337728.0,5.18908710912e+11,16993740.0,288228.0,0.0,15868.0,05-04 17:15:40
0.0,0.0,14141341696.0,2138112.0,7773048832.0,5.18870818816e+11,17877372.0,854612.0,0.0,0.0,05-04 17:15:41
3.0,0.0,14169972736.0,2138112.0,7817711616.0,5.18797524992e+11,44976016.0,516852.0,1503.0,1732.0,05-04 17:15:42
0.0,0.0,14291103744.0,2138112.0,7834652672.0,5.18659452928e+11,16165904.0,332696.0,369.0,101.0,05-04 17:15:43
0.0,0.0,15067729920.0,2138112.0,7957090304.0,5.1776038912e+11,106802492.0,209608.0,2096.0,3343.0,05-04 17:15:44
0.0,0.0,15167926272.0,2138112.0,8212746240.0,5.17404536832e+11,164590352.0,78452.0,66.0,5632.0,05-04 17:15:45
0.0,0.0,15257362432.0,2138112.0,8361365504.0,5.17166481408e+11,146646516.0,43200.0,66.0,406.0,05-04 17:15:46
0.0,11.0,15457804288.0,2138112.0,8721747968.0,5.16605657088e+11,350681284.0,107744.0,1503.0,1732.0,05-04 17:15:47
0.0,0.0,15666708480.0,2138112.0,8929660928.0,5.16188839936e+11,214684448.0,63868.0,0.0,0.0,05-04 17:15:48
0.0,0.0,15859789824.0,2138112.0,8937361408.0,5.15988058112e+11,5788.0,6508.0,66.0,114.0,05-04 17:15:49
0.0,0.0,15951495168.0,2138112.0,8980484096.0,5.1585323008e+11,57744536.0,19568.0,0.0,0.0,05-04 17:15:50
0.0,594.0,16058351616.0,2138112.0,9135263744.0,5.15591593984e+11,135325712.0,51408.0,132.0,5033.0,05-04 17:15:51
0.0,0.0,16059420672.0,2138112.0,9143734272.0,5.155820544e+11,1084.0,1900.0,1635.0,6765.0,05-04 17:15:52
0.0,0.0,16061075456.0,2138112.0,9144504320.0,5.15579629568e+11,448.0,1244.0,132.0,5033.0,05-04 17:15:53
0.0,0.0,16062664704.0,2138112.0,9145274368.0,5.15577270272e+11,668.0,1460.0,132.0,5033.0,05-04 17:15:54
0.0,0.0,16064241664.0,2138112.0,9153744896.0,5.15567222784e+11,448.0,1324.0,132.0,5033.0,05-04 17:15:55
0.0,855.0,16064372736.0,2138112.0,9142964224.0,5.15577872384e+11,448.0,1360.0,435.0,5977.0,05-04 17:15:56
0.0,0.0,16064913408.0,2138112.0,9143734272.0,5.15576561664e+11,668.0,1576.0,1635.0,6765.0,05-04 17:15:57
0.0,2.0,16065339392.0,2138112.0,9152204800.0,5.15567665152e+11,448.0,1440.0,0.0,0.0,05-04 17:15:58
0.0,0.0,16065490944.0,2138112.0,9152974848.0,5.15566743552e+11,448.0,1480.0,132.0,5033.0,05-04 17:15:59
0.0,0.0,16071643136.0,2138112.0,9153744896.0,5.15559821312e+11,668.0,1692.0,132.0,5033.0,05-04 17:16:00
0.0,0.0,16071872512.0,2138112.0,9174536192.0,5.1553880064e+11,668.0,1720.0,132.0,5033.0,05-04 17:16:01
0.0,0.0,16098828288.0,2138112.0,9179926528.0,5.15506454528e+11,1220.0,6060.0,1635.0,6765.0,05-04 17:16:02
0.0,0.0,16098172928.0,2138112.0,9180696576.0,5.1550633984e+11,1328.0,2448.0,132.0,5033.0,05-04 17:16:03
0.0,0.0,16100925440.0,2138112.0,9189937152.0,5.15494346752e+11,1540.0,2668.0,132.0,5033.0,05-04 17:16:04
0.0,0.0,16101900288.0,2138112.0,9178386432.0,5.15504922624e+11,448.0,1712.0,132.0,5033.0,05-04 17:16:05
0.0,0.0,16101646336.0,2138112.0,9182236672.0,5.15501326336e+11,888.0,2160.0,132.0,5123.0,05-04 17:16:06
0.0,0.0,16101965824.0,2138112.0,9178386432.0,5.15504857088e+11,1532.0,2720.0,1503.0,1732.0,05-04 17:16:07
0.0,0.0,16109613056.0,2138112.0,9174536192.0,5.15501060096e+11,448.0,1824.0,435.0,5033.0,05-04 17:16:08
0.0,0.0,16136171520.0,2138112.0,9187627008.0,5.15461410816e+11,16489880.0,7200.0,132.0,5033.0,05-04 17:16:09
0.0,0.0,16140664832.0,2138112.0,9183776768.0,5.15460767744e+11,448.0,1892.0,0.0,0.0,05-04 17:16:10
0.0,0.0,16141873152.0,2138112.0,9184546816.0,5.15458789376e+11,448.0,1916.0,192.0,5033.0,05-04 17:16:11
0.0,0.0,16148897792.0,2138112.0,9203027968.0,5.15433283584e+11,668.0,2128.0,1695.0,6765.0,05-04 17:16:12
0.0,0.0,16149286912.0,2138112.0,9225359360.0,5.15410563072e+11,448.0,1992.0,252.0,5033.0,05-04 17:16:13
0.0,0.0,16149843968.0,2138112.0,9225359360.0,5.15410006016e+11,448.0,2032.0,192.0,5033.0,05-04 17:16:14
0.0,0.0,16151715840.0,2138112.0,9238450176.0,5.15395043328e+11,1016.0,2444.0,918.0,5033.0,05-04 17:16:15
0.0,0.0,16153149440.0,2138112.0,9231519744.0,5.1540054016e+11,668.0,2284.0,132.0,5033.0,05-04 17:16:16
0.0,10.0,16154505216.0,2138112.0,9228439552.0,5.15402264576e+11,876.0,48964.0,1635.0,6765.0,05-04 17:16:17
0.0,0.0,16154161152.0,2138112.0,9237680128.0,5.15393368064e+11,668.0,2364.0,60.0,0.0,05-04 17:16:18
