Wall time,Step,Value
1712351751.006252,0,10112.0
1712351752.1272125,1,9102.0
1712351753.2661176,2,8978.0
1712351754.369548,3,9544.0
1712351755.491765,4,9153.0
1712351756.5696945,5,9917.0
1712351757.689866,6,8961.0
1712351758.8170037,7,9349.0
1712351759.932034,8,8984.0
1712351761.0368652,9,10041.0
1712351762.2441194,10,8400.0
1712351763.3905978,11,9002.0
1712351764.5010853,12,9347.0
1712351765.6198332,13,9572.0
1712351766.756068,14,9309.0
1712351767.846267,15,9726.0
1712351768.296093,16,5720.0
1712351770.8802838,17,11817.0
1712351771.9569697,18,9494.0
1712351773.110029,19,8573.0
1712351774.2315476,20,9407.0
1712351775.386282,21,9022.0
1712351776.5503323,22,8565.0
1712351777.6961815,23,9102.0
1712351778.8270948,24,9338.0
1712351779.9625452,25,9054.0
1712351781.0667088,26,10238.0
1712351782.1879375,27,9224.0
1712351783.3818254,28,8765.0
1712351784.4868298,29,10128.0
1712351785.6473088,30,9087.0
1712351786.7560651,31,9462.0
1712351787.896028,32,9678.0
1712351788.315502,33,5714.0
1712351790.8813818,34,11820.0
1712351791.9870143,35,9226.0
1712351793.1503239,36,8896.0
1712351794.317035,37,8985.0
1712351795.449905,38,9086.0
1712351796.5969965,39,9573.0
1712351797.7423959,40,9113.0
1712351798.896199,41,8939.0
1712351800.0569577,42,8834.0
1712351801.2062762,43,8820.0
1712351802.3905334,44,8292.0
1712351803.526317,45,8923.0
1712351804.7069886,46,8566.0
1712351805.886237,47,8547.0
1712351807.0499709,48,8941.0
1712351808.1657224,49,9256.0
1712351808.5667522,50,6687.0
1712351811.1413162,51,11803.0
1712351812.2862017,52,8845.0
1712351813.447147,53,9049.0
1712351814.6101923,54,8823.0
1712351815.7171123,55,9531.0
1712351816.8969626,56,9015.0
1712351818.096849,57,8467.0
1712351819.316809,58,8661.0
1712351820.4768345,59,9094.0
1712351821.6565778,60,8571.0
1712351822.841442,61,8489.0
1712351823.9396112,62,10082.0
1712351825.1468832,63,8628.0
1712351826.3470192,64,9093.0
1712351827.5262003,65,9152.0
1712351828.629536,66,9895.0
1712351829.0097399,67,7236.0
1712351831.5959973,68,11810.0
1712351832.746153,69,8690.0
1712351833.9169948,70,9137.0
1712351835.0968728,71,8470.0
1712351836.2603447,72,8719.0
1712351837.4242508,73,8840.0
1712351838.5771515,74,8970.0
1712351839.74157,75,8640.0
1712351840.8810513,76,8894.0
1712351841.9875922,77,9966.0
1712351843.146854,78,9109.0
1712351844.3001227,79,9415.0
1712351845.447115,80,9407.0
1712351846.586858,81,9250.0
1712351847.746055,82,9129.0
1712351848.8459835,83,9602.0
1712351849.2164614,84,7150.0
1712351851.8202946,85,11687.0
1712351852.9494295,86,9540.0
1712351854.117007,87,8620.0
1712351855.3004596,88,8750.0
1712351856.4671113,89,8668.0
1712351857.6268473,90,8750.0
1712351858.7668283,91,8789.0
1712351859.9068651,92,9309.0
1712351861.0876498,93,8664.0
1712351862.2262158,94,9197.0
1712351863.4061968,95,8631.0
1712351864.5898085,96,8351.0
1712351865.7511327,97,8761.0
1712351866.9062421,98,9434.0
1712351868.0493543,99,9178.0
1712351869.175652,100,9191.0
1712351869.5555446,101,6528.0
1712351872.1364458,102,11755.0
1712351873.2855332,103,8914.0
1712351874.4668362,104,8559.0
1712351875.6869018,105,8504.0
1712351876.836148,106,9032.0
1712351878.0261867,107,8765.0
1712351879.1794658,108,8789.0
1712351880.3661356,109,8805.0
1712351881.5464485,110,8893.0
1712351882.7093296,111,8794.0
1712351883.8461604,112,9722.0
1712351885.0098865,113,8980.0
1712351886.1700275,114,8621.0
1712351887.3098023,115,9176.0
1712351888.4660504,116,9162.0
1712351889.5795054,117,9578.0
1712351889.9857574,118,6695.0
1712351892.585804,119,11857.0
1712351893.7397676,120,8930.0
1712351894.8869045,121,8931.0
1712351896.0868316,122,8425.0
1712351897.2868512,123,8995.0
1712351898.4661613,124,8711.0
1712351899.6868632,125,8828.0
1712351900.8361478,126,9083.0
1712351902.0070493,127,9065.0
1712351903.187054,128,8571.0
1712351904.3570886,129,8717.0
1712351905.5170538,130,9091.0
1712351906.7375345,131,8516.0
1712351907.9108489,132,9094.0
1712351909.0299413,133,9908.0
1712351910.1462889,134,9381.0
1712351910.555435,135,7093.0
1712351913.1357605,136,11836.0
1712351914.3009422,137,8555.0
1712351915.4294958,138,9556.0
1712351916.6057518,139,9135.0
1712351917.7417839,140,9137.0
1712351918.9061208,141,8497.0
1712351920.0761197,142,8476.0
1712351921.2228658,143,8972.0
1712351922.3961287,144,8401.0
1712351923.6063635,145,8722.0
1712351924.8061166,146,9078.0
1712351925.9561768,147,9074.0
1712351927.106264,148,9063.0
1712351928.2597542,149,9010.0
1712351929.4064252,150,9723.0
1712351930.586485,151,9283.0
1712351931.0355625,152,6695.0
1712351933.7006795,153,11795.0
1712351934.857035,154,8930.0
1712351936.0768394,155,9085.0
1712351937.212446,156,8993.0
1712351938.377061,157,8961.0
1712351939.5110583,158,9064.0
1712351940.6368804,159,9389.0
1712351941.8296387,160,9479.0
1712351942.936976,161,9852.0
1712351944.1670473,162,8421.0
1712351945.3670146,163,9091.0
1712351946.566801,164,8597.0
1712351947.7569876,165,8770.0
1712351948.8968725,166,9137.0
1712351950.0493975,167,8769.0
1712351951.176247,168,9508.0
1712351951.576364,169,6761.0
